replication,delta_E
855,-0.4082128600607918
856,-0.08569298676387804
857,-0.3523838680045896
858,-0.21354409916896522
859,-0.4012355518457958
860,-0.3730615209924397
861,-0.30524557688536574
862,-0.29063714745199737
863,-0.08503285859548389
864,-0.19186160764297944
865,-0.12719323734046495
866,-0.27977893129633813
867,-0.308473670603511
868,-0.2559760612426966
869,-0.34371086877294327
870,-0.2546379094050883
871,0.02711571378128104
872,-0.3757427195336155
873,-0.24886572742514818
874,-0.4713862743329309
875,-0.4126613855357263
876,-0.4336166795718373
877,-0.1764088007479107
878,-0.07469625539591403
879,-0.2193657000506533
880,-0.3556270687607627
881,-0.09103628323002105
882,-0.2799921578002906
883,-0.2755632230922503
884,-0.21697941815746677
885,-0.29072765569309494
886,-0.394364389002163
887,-0.25596110668733774
888,-0.24917385398147357
889,-0.34086407058242124
890,-0.4153547527596394
891,-0.320612984189417
892,-0.25534509896801644
893,-0.18255072781107182
894,-0.24770944725170965
895,-0.38962162734071976
896,-0.21141850895431588
897,-0.025417803016262324
898,-0.42103854441634453
899,-0.027664201431290607
900,-0.2532872321572586
901,-0.21987393924538082
902,-0.4210730664105364
903,-0.2318472591106178
904,-0.18281917320426175
905,-0.2919558813233017
906,-0.15403901031623154
907,-0.29091479574375956
908,-0.094559148645504
909,-0.3812242085493781
910,-0.26518638481598944
911,-0.27832263606227614
912,-0.4253437708509735
913,-0.23786920448197246
914,-0.01003576836976194
915,0.04653365303515001
916,-0.15888829264592985
917,-0.2058417026918087
918,-0.04777764040372385
919,-0.27382947741171226
920,-0.24461177304527543
921,-0.037187019778010824
922,-0.3503254836699201
923,-0.40383608030055307
924,-0.3557903490802281
925,0.07014726528739915
926,-0.3194338693428418
927,-0.22059385845511656
928,-0.3166285994233185
929,0.10164992243583425
930,-0.11192921137753409
931,-0.3107456073246184
932,-0.2773164338912055
933,-0.1566509011696
934,-0.2530481705598332
935,-0.2731342026054543
936,-0.25760497003112703
937,-0.2624569929464788
938,-0.4218291730138464
939,-0.17895742822211624
940,-0.22418833794062773
941,-0.304644968348661
942,-0.10296883593492188
943,-0.24471687445464302
944,-0.0885981892068872
945,-0.39252667234102506
946,-0.14976921226685722
947,-0.2513377749549145
948,-0.1408498218377556
949,-0.3469253031453175
950,-0.3151486057855044
951,-0.022762395429586687
952,-0.3765977044840313
953,-0.3851492141486636
954,-0.38277564264442415
955,-0.04608887106254248
956,-0.10391552478646607
957,-0.20272260044279897
958,-0.21156880100462708
959,-0.26502831781571756
960,-0.22002168029868255
961,-0.25900627678553206
962,-0.35126560999131706
963,-0.15493374401422547
964,-0.255582930359114
965,-0.3211612006938528
966,-0.4220232095989094
967,-0.13979681562190047
968,-0.2744404073639642
969,-0.10533873433364982
970,-0.1839051026180644
971,-0.24359228174818734
972,-0.1368695772719427
973,-0.1977578916875043
974,-0.3647208087579854
975,-0.24025218299894854
976,0.0830502255329955
977,-0.2594739018834407
978,-0.41287082115918244
979,-0.06424525938093885
980,0.12320764554910432
981,-0.30232262027129453
982,-0.27098697622851536
983,-0.39983638051470605
984,-0.3079169664634408
985,-0.28550885557145184
986,-0.23642096348461492
987,-0.3672098748618033
988,-0.22974046295132974
