timestamp_utc,side,size,price,midpoint_proxy,effective_half_spread,transactionHash
2024-11-04 19:30:37+00:00,SELL,66.33,0.577,0.5805,0.0035000000000000586,0x91e17d29e0855169ab1735a434968c6e6e55ce5775d736fa53289a695c5bc7fd
2024-11-04 19:30:43+00:00,BUY,13.59,0.578,0.5805,-0.0025000000000000577,0xb5adb1873f74ac06bf6ba29e348447827fd752870b7aa5f537bd419f8d8fb237
2024-11-04 19:30:43+00:00,SELL,19.48,0.577,0.5805,0.0035000000000000586,0xa1abd98d4c8a345a88dbf8860b24dde6d0f0b5ce69d707f9209a6496f7a0fcf7
2024-11-04 19:30:45+00:00,SELL,28.74,0.577,0.5805,0.0035000000000000586,0x53e73225341b7dba4c91b9a29a96e8f2412fd14ebf84b193b6404710234257b6
2024-11-04 19:30:45+00:00,SELL,35.97,0.577,0.5805,0.0035000000000000586,0x838293656b3218286b5140ffcf5b544a0f8189616cd29e888acd186dcabfe559
2024-11-04 19:30:45+00:00,BUY,14.78,0.578,0.5805,-0.0025000000000000577,0xcd12acab9caabbd05315ae45f584a7ba391082166835031e48e2d17cb683092c
2024-11-04 19:30:45+00:00,SELL,25.67,0.577,0.5805,0.0035000000000000586,0x8752570b93c5ecaefe8a78a9e0569b9ded2f78a2a88e03585742e8064d7ff327
2024-11-04 19:30:47+00:00,BUY,617.524541,0.5784385482,0.5805,-0.002061451800000058,0x79fe6bc52bf3f6124c9915e771be5b974f77650d177b421ca7642633066b5b86
2024-11-04 19:30:47+00:00,SELL,78.79,0.5773940855,0.5805,0.0031059144999999733,0xc20cc38207868cce988bdf65f30b9700a9373a7955bbec7300e2150729126efc
2024-11-04 19:30:51+00:00,BUY,14.54,0.578,0.5805,-0.0025000000000000577,0xf317c9d99bd642668470b02e15b298d0f9ce848c77ed4604bed3c959a057a933
2024-11-04 19:30:51+00:00,SELL,838.0,0.579,0.5805,0.0015000000000000568,0xccc719894e5d0d5b75163acbb1eb76d24a2f7241741a82dc7b74747f970837c7
2024-11-04 19:30:51+00:00,SELL,45.4,0.579,0.5805,0.0015000000000000568,0xafaa4802e42371ccb4dd68bf7f8d29f69dfcdb0f98a343c775db7548bb957f2f
2024-11-04 19:30:53+00:00,BUY,13.69,0.579,0.5805,-0.0015000000000000568,0x9058f12b577eed6fadda377b0bc7406096d2d39325459e0f4df4ecb23895f43a
2024-11-04 19:30:55+00:00,SELL,32.54,0.577,0.5805,0.0035000000000000586,0xe72106f827955e47970e8f3e169c34dd1e07c03deb51e0765fdb765394e5af40
2024-11-04 19:30:57+00:00,SELL,11.87,0.577,0.5805,0.0035000000000000586,0x47905965a608bf3a95cc251a1b1e9f4dee969571ec3ac983360e6abc9eb9d624
2024-11-04 19:30:57+00:00,SELL,14.84,0.577,0.5805,0.0035000000000000586,0x7b68ac337bc595e056491ef4c16de11ee253f9954062208058bac30fa2242e46
