Date,TAN ret,SPY ret,ICLN ret,p,Δp
2024-01-05,-0.009842108092930957,0.0013698032919413627,-0.0033668819490974,0.405,-0.09499999999999997
2024-01-08,0.0,0.014275849298781562,0.006756646040606329,0.465,0.06
2024-01-09,-0.007869150690603788,-0.0015170617781710138,-0.003355716513203766,0.455,-0.010000000000000009
2024-01-10,0.007305361786202225,0.005655464913819852,0.0,0.465,0.010000000000000009
2024-01-11,-0.02590137035747242,-0.00044067301059880215,-0.013467927734852503,0.475,0.009999999999999953
2024-01-12,-0.011912322540008069,0.0006926500295143523,-0.00750858532330978,0.485,0.010000000000000009
2024-01-16,-0.046932222226440445,-0.0036711752397221575,-0.0350756671821727,0.485,0.0
2024-01-17,-0.031172348721508425,-0.005558496471419483,-0.022808263471347123,0.485,0.0
2024-01-18,0.008859904376493422,0.008892676018311452,0.004376411850563144,0.485,0.0
2024-01-19,-0.008550948426483185,0.012466148799797905,-0.0007261757980888683,0.485,0.0
2024-01-22,0.015384625008031172,0.0021143216898256156,0.010174280795877788,0.545,0.06000000000000005
2024-01-23,0.030532569520392627,0.002916478516551635,0.012230173919805631,0.545,0.0
2024-01-24,-0.01915796174351403,0.0010931979808126435,-0.00923949370166266,0.545,0.0
2024-01-25,-0.003406754547374935,0.005438906348074424,0.004304275503171473,0.545,0.0
2024-01-26,-0.015724745747311974,-0.0012703985415635222,-0.009285760596442594,0.545,0.0
2024-01-29,0.019912038557467815,0.00791924330068694,0.014419518568635992,0.545,0.0
2024-01-30,-0.018842213680967168,-0.000773300179463976,-0.014925243981292913,0.545,0.0
2024-01-31,-0.019666801666044842,-0.016317387588725474,-0.0036074447111890118,0.525,-0.020000000000000018
2024-02-01,0.024781585899894987,0.013088179485211349,0.03186097866753035,0.525,0.0
2024-02-02,-0.026255096988459403,0.01052723172769121,-0.01894755794532932,0.525,0.0
2024-02-05,-0.027909252789234285,-0.0036411963952815984,-0.022174430717170845,0.525,0.0
2024-02-06,0.028710542579810205,0.0029033819983421694,0.017556653390977672,0.525,0.0
2024-02-07,0.04446544780483097,0.008340369028076111,0.025161771783249298,0.525,0.0
2024-02-08,-0.0013586728879780852,0.0004418136475479173,-0.005610062349991396,0.525,0.0
2024-02-09,0.03151931060657298,0.005779335583653067,0.014809530766844992,0.515,-0.010000000000000009
2024-02-12,0.03978892770480624,-0.00043889276081610085,0.017373237242211292,0.535,0.020000000000000018
2024-02-13,-0.05940796919409075,-0.013772988606368997,-0.03551910037453965,0.525,-0.010000000000000009
2024-02-14,0.04810066200148699,0.009087602657076976,0.027620323618479103,0.525,0.0
2024-02-15,0.0165129846000045,0.006899667161367695,0.015161996998257932,0.53,0.0050000000000000044
2024-02-16,-0.011392456046335209,-0.004979973893040612,-0.014935544320109018,0.525,-0.0050000000000000044
2024-02-20,-0.022407162647840595,-0.005505318738834419,-0.013783577819798665,0.545,0.020000000000000018
2024-02-21,-0.022920835342094104,0.0009057561142808979,-0.011181059116248115,0.545,0.0
2024-02-22,-0.047140244544268795,0.02069555293154335,-0.022614767772628386,0.545,0.0
2024-02-23,-0.015474715200002431,0.0006896579493562704,-0.010845953294507327,0.535,-0.010000000000000009
2024-02-26,-0.00023819357788479323,-0.0036624551393661386,0.0007309532659509621,0.525,-0.010000000000000009
2024-02-27,0.013816144715203205,0.00185762380353105,0.010226449524891379,0.525,0.0
2024-02-28,-0.012923029918222584,-0.0013216408439921112,-0.010845953294507327,0.525,0.0
2024-02-29,0.027136489217677084,0.003594843852909646,0.016812793404257453,0.525,0.0
2024-03-01,0.023870129240155302,0.009388393743026135,0.01581600133270067,0.525,0.0
2024-03-04,-0.017881398538389326,-0.0010723989436863812,-0.015569750143678562,0.535,0.010000000000000009
2024-03-05,-0.008988228180290436,-0.009994191635525618,-0.0028756107292657873,0.535,0.0
2024-03-06,0.021860455330239503,0.005067315538934913,0.015140672912293818,0.535,0.0
2024-03-07,0.02344114317112611,0.009926328239780569,0.013494336356399295,0.535,0.0
2024-03-08,0.017789593765786593,-0.006002148479328895,0.004905329437851824,0.535,0.0
2024-03-11,0.013327492680687891,-0.0008598013296785556,-0.0013946911861729694,0.515,-0.020000000000000018
2024-03-12,-0.03794741563902615,0.01075728796021358,-0.026536418754764757,0.515,0.0
2024-03-13,-0.01680862510720127,-0.0015674687751836558,-0.01721653395085443,0.515,0.0
2024-03-14,-0.026897638967741222,-0.001976761069401922,-0.013868560083823422,0.515,0.0
2024-03-15,-0.003279491423797687,-0.006866584964197897,-0.006661798756001147,0.515,0.0
2024-03-18,0.005875477606667623,0.005943093761497487,0.005216098787679924,0.515,0.0
2024-03-19,0.005841158013561998,0.005557027964436134,-0.005189032282680972,0.515,0.0
2024-03-20,0.02415790655222927,0.00924946480980915,0.02235477231217642,0.515,0.0
2024-03-21,0.0068043240154458395,0.0033045510603086914,0.0014576443359364255,0.515,0.0
2024-03-22,-0.008109971167579055,-0.001895873574658813,-0.003639022877727771,0.515,0.0
2024-03-25,-0.013172790054310712,-0.0027625935584060235,-0.008765538493396896,0.495,-0.020000000000000018
2024-03-26,-0.009896486918308578,-0.001847152669091634,-0.007369076779209283,0.495,0.0
2024-03-27,0.0550906682480905,0.008404047164972894,0.03860412828894666,0.495,0.0
2024-03-28,-0.0004406183014109555,-0.0001912785946672768,-0.0007148271336010481,0.495,0.0
2024-04-01,-0.0066122724676029865,-0.001739751905003195,-0.0007151968678328346,0.485,-0.010000000000000009
2024-04-02,-0.037275403733375345,-0.006358016169788816,-0.01646385181959431,0.485,0.0
2024-04-03,0.011292956442614965,0.0010985352802523884,0.006550212363384489,0.475,-0.010000000000000009
2024-04-04,-0.0036462469498850236,-0.012206210394439587,-0.0007230969534666176,0.465,-0.009999999999999953
2024-04-05,-0.013495047680075922,0.010446918952096151,-0.010853801645410499,0.465,0.0
2024-04-08,0.014143361862946735,0.0005594350805937509,0.007315314485533353,0.465,0.0
2024-04-09,0.040694944710108594,0.0011567922331425784,0.031227284542447276,0.465,0.0
2024-04-10,-0.03405094335221115,-0.010013284782391385,-0.027464717159399132,0.455,-0.010000000000000009
2024-04-11,-0.006595426044835984,0.007546924360555929,0.0050687936897466646,0.455,0.0
2024-04-12,-0.03869039809045349,-0.013803089030853144,-0.025216224286338074,0.455,0.0
2024-04-15,-0.033103246919003904,-0.012528106121352023,-0.022172953382052718,0.455,0.0
2024-04-16,-0.02118219526268672,-0.0018238497618979777,-0.01284961430731646,0.445,-0.010000000000000009
2024-04-17,0.009058827149721616,-0.005918238137195275,0.008422724689931771,0.445,0.0
2024-04-18,-0.009974991061407645,-0.0020577059283769517,-0.005315113522821768,0.425,-0.020000000000000018
2024-04-19,-0.0027707825833709343,-0.00872839797419045,-0.006106831006561841,0.425,0.0
2024-04-22,0.009093149418164082,0.009209198134285668,0.008448448098382855,0.435,0.010000000000000009
2024-04-23,0.013767218378962998,0.011866637582815809,0.009901115497283008,0.435,0.0
2024-04-24,-0.00469132675324635,-0.0004745284342694278,-0.009049864280402442,0.425,-0.010000000000000009
2024-04-25,-0.012899998478369978,-0.0037990219180447093,-0.004566180807652365,0.425,0.0
2024-04-26,0.024629275152427077,0.009473892050490873,0.01146785397931227,0.435,0.010000000000000009
2024-04-29,0.020848642406657403,0.003541489000252307,0.015117285725476437,0.435,0.0
2024-04-30,-0.0309947010889714,-0.015841104276271056,-0.014892156737014384,0.445,0.010000000000000009
2024-05-01,-0.0007438981766317854,-0.0032473372515072763,0.0015117061270222276,0.455,0.010000000000000009
2024-05-02,0.02952856480104349,0.00935338820028031,0.020377415097590168,0.455,0.0
2024-05-03,0.034225094910323106,0.012395396139338155,0.024408309800047823,0.465,0.010000000000000009
2024-05-06,0.007923606891682367,0.010326796175695652,0.004332030474727411,0.465,0.0
2024-05-07,-0.004393034113245653,0.0011036055016220292,0.003594548992017055,0.465,0.0
2024-05-08,-0.013469617775023868,9.63605469861406e-05,-0.007879570423124482,0.455,-0.010000000000000009
2024-05-09,0.016949138776369832,0.005761987293874116,0.007220098437305866,0.445,-0.010000000000000009
2024-05-10,-0.0263888899981356,0.0012882290294196075,-0.00788521910438722,0.445,0.0
2024-05-13,0.01688068260275344,0.0001344879843860891,0.002890226327515011,0.515,0.07
2024-05-14,0.02338084003376606,0.004587980617081433,0.016570461992812868,0.485,-0.030000000000000027
2024-05-15,-0.0009138526183620765,0.012383006461730295,0.012757039458795472,0.495,0.010000000000000009
2024-05-16,-0.009146972752732019,-0.0020577577775837685,-0.0027991421228568125,0.495,0.0
2024-05-17,-0.016616736653619513,0.0014377808545495974,-0.006315852648443143,0.505,0.010000000000000009
2024-05-20,-0.007979303653034786,0.0011521723456615618,-0.0007063150041887178,0.54,0.03500000000000003
2024-05-21,0.015140688434894134,0.002452466390780561,0.008480721543731695,0.545,0.0050000000000000044
2024-05-22,0.08972264651025297,-0.0028791604322409015,0.036439917119167387,0.55,0.0050000000000000044
2024-05-23,-0.034644990182454705,-0.007304396917582778,-0.014874888332592984,0.545,-0.0050000000000000044
2024-05-24,0.05228184947625336,0.00661651357559756,0.024022048127387396,0.545,0.0
2024-05-28,0.002526273380356603,0.0006988698506149582,0.010723857921836055,0.565,0.019999999999999907
2024-05-29,-0.0004199845675595393,-0.00700262895838899,-0.016578372433189714,0.565,0.0
2024-05-30,0.02941175523095252,-0.006633697151315676,0.01416056305049862,0.535,-0.029999999999999916
2024-05-31,-0.014693866246738296,0.009108093164282405,-0.004654192699254822,0.545,0.010000000000000009
2024-06-03,-0.0031068642022911153,0.0008155969909677818,0.007348015081125148,0.535,-0.010000000000000009
