Date,TAN ret,SPY ret,p,Δp
2024-01-05,-0.0098421080929309,0.0013698032919413,0.405,-0.0949999999999999
2024-01-08,0.0,0.0142758492987815,0.465,0.06
2024-01-09,-0.0078691506906037,-0.001517061778171,0.455,-0.01
2024-01-10,0.0073053617862022,0.0056554649138198,0.465,0.01
2024-01-11,-0.0259013703574724,-0.0004406730105988,0.475,0.0099999999999999
2024-01-12,-0.011912322540008,0.0006926500295143,0.485,0.01
2024-01-16,-0.0469322222264404,-0.0036711752397221,0.485,0.0
2024-01-17,-0.0311723487215084,-0.0055584964714194,0.485,0.0
2024-01-18,0.0088599043764934,0.0088926760183114,0.485,0.0
2024-01-19,-0.0085509484264831,0.0124661487997979,0.485,0.0
2024-01-22,0.0153846250080311,0.0021143216898256,0.545,0.06
2024-01-23,0.0305325695203926,0.0029164785165516,0.545,0.0
2024-01-24,-0.019157961743514,0.0010931979808126,0.545,0.0
2024-01-25,-0.0034067545473749,0.0054389063480744,0.545,0.0
2024-01-26,-0.0157247457473119,-0.0012703985415635,0.545,0.0
2024-01-29,0.0199120385574678,0.0079192433006869,0.545,0.0
2024-01-30,-0.0188422136809671,-0.0007733001794639,0.545,0.0
2024-01-31,-0.0196668016660448,-0.0163173875887254,0.525,-0.02
2024-02-01,0.0247815858998949,0.0130881794852113,0.525,0.0
2024-02-02,-0.0262550969884594,0.0105272317276912,0.525,0.0
2024-02-05,-0.0279092527892342,-0.0036411963952815,0.525,0.0
2024-02-06,0.0287105425798102,0.0029033819983421,0.525,0.0
2024-02-07,0.0444654478048309,0.0083403690280761,0.525,0.0
2024-02-08,-0.001358672887978,0.0004418136475479,0.525,0.0
2024-02-09,0.0315193106065729,0.005779335583653,0.515,-0.01
2024-02-12,0.0397889277048062,-0.0004388927608161,0.535,0.02
2024-02-13,-0.0594079691940907,-0.0137729886063689,0.525,-0.01
2024-02-14,0.0481006620014869,0.0090876026570769,0.525,0.0
2024-02-15,0.0165129846000045,0.0068996671613676,0.53,0.005
2024-02-16,-0.0113924560463352,-0.0049799738930406,0.525,-0.005
2024-02-20,-0.0224071626478405,-0.0055053187388344,0.545,0.02
2024-02-21,-0.0229208353420941,0.0009057561142808,0.545,0.0
2024-02-22,-0.0471402445442687,0.0206955529315433,0.545,0.0
2024-02-23,-0.0154747152000024,0.0006896579493562,0.535,-0.01
2024-02-26,-0.0002381935778847,-0.0036624551393661,0.525,-0.01
2024-02-27,0.0138161447152032,0.001857623803531,0.525,0.0
2024-02-28,-0.0129230299182225,-0.0013216408439921,0.525,0.0
2024-02-29,0.027136489217677,0.0035948438529096,0.525,0.0
2024-03-01,0.0238701292401553,0.0093883937430261,0.525,0.0
2024-03-04,-0.0178813985383893,-0.0010723989436863,0.535,0.01
2024-03-05,-0.0089882281802904,-0.0099941916355256,0.535,0.0
2024-03-06,0.0218604553302395,0.0050673155389349,0.535,0.0
2024-03-07,0.0234411431711261,0.0099263282397805,0.535,0.0
2024-03-08,0.0177895937657865,-0.0060021484793288,0.535,0.0
2024-03-11,0.0133274926806878,-0.0008598013296785,0.515,-0.02
2024-03-12,-0.0379474156390261,0.0107572879602135,0.515,0.0
2024-03-13,-0.0168086251072012,-0.0015674687751836,0.515,0.0
2024-03-14,-0.0268976389677412,-0.0019767610694019,0.515,0.0
2024-03-15,-0.0032794914237976,-0.0068665849641978,0.515,0.0
2024-03-18,0.0058754776066676,0.0059430937614974,0.515,0.0
2024-03-19,0.0058411580135619,0.0055570279644361,0.515,0.0
2024-03-20,0.0241579065522292,0.0092494648098091,0.515,0.0
2024-03-21,0.0068043240154458,0.0033045510603086,0.515,0.0
2024-03-22,-0.008109971167579,-0.0018958735746588,0.515,0.0
2024-03-25,-0.0131727900543107,-0.002762593558406,0.495,-0.02
2024-03-26,-0.0098964869183085,-0.0018471526690916,0.495,0.0
2024-03-27,0.0550906682480905,0.0084040471649728,0.495,0.0
2024-03-28,-0.0004406183014109,-0.0001912785946672,0.495,0.0
2024-04-01,-0.0066122724676029,-0.0017397519050031,0.485,-0.01
2024-04-02,-0.0372754037333753,-0.0063580161697888,0.485,0.0
2024-04-03,0.0112929564426149,0.0010985352802523,0.475,-0.01
2024-04-04,-0.003646246949885,-0.0122062103944395,0.465,-0.0099999999999999
2024-04-05,-0.0134950476800759,0.0104469189520961,0.465,0.0
2024-04-08,0.0141433618629467,0.0005594350805937,0.465,0.0
2024-04-09,0.0406949447101085,0.0011567922331425,0.465,0.0
2024-04-10,-0.0340509433522111,-0.0100132847823913,0.455,-0.01
2024-04-11,-0.0065954260448359,0.0075469243605559,0.455,0.0
2024-04-12,-0.0386903980904534,-0.0138030890308531,0.455,0.0
2024-04-15,-0.0331032469190039,-0.012528106121352,0.455,0.0
2024-04-16,-0.0211821952626867,-0.0018238497618979,0.445,-0.01
2024-04-17,0.0090588271497216,-0.0059182381371952,0.445,0.0
2024-04-18,-0.0099749910614076,-0.0020577059283769,0.425,-0.02
2024-04-19,-0.0027707825833709,-0.0087283979741904,0.425,0.0
2024-04-22,0.009093149418164,0.0092091981342856,0.435,0.01
2024-04-23,0.0137672183789629,0.0118666375828158,0.435,0.0
2024-04-24,-0.0046913267532463,-0.0004745284342694,0.425,-0.01
2024-04-25,-0.0128999984783699,-0.0037990219180447,0.425,0.0
2024-04-26,0.024629275152427,0.0094738920504908,0.435,0.01
2024-04-29,0.0208486424066574,0.0035414890002523,0.435,0.0
2024-04-30,-0.0309947010889714,-0.015841104276271,0.445,0.01
2024-05-01,-0.0007438981766317,-0.0032473372515072,0.455,0.01
