Component,Institutional (% of Q),Retail (% of Q)
Phase 2: ΔE estimation error,-3.1774731703292107,-3.1774731703292107
p_s ≠ p convergence (5-day minus 1-day),-7.187137693940793,-7.187137693940793
Phase 3: friction,-0.20990759570395065,-0.01796009119756615
Total hedged residual,-10.574518459973953,-10.38257095546757
