scenario,Q,yes_shares_to_buy,mark_price_cost,entry_midpoint_probability,a_quoted_half_spread_cost,a_one_tick_lower_bound_cost,b_effective_half_spread,b_effective_spread_cost,order_flow_usd_millions,impact_delta_log_odds,post_trade_probability,endpoint_probability_impact,c_linear_price_impact_cost,all_in_cost_effective_spread,all_in_cost_linear_impact
Q_retail,100000.0,23420.197593491022,13548.584307834557,0.5785,,11.71009879674551,0.0007503452447097599,17.57323389443895,0.013548584307834557,0.00013548584307834557,0.5785330362117214,3.303621172134896e-05,0.38685730312719846,13566.157541728995,13548.971165137684
Q_inst,50000000.0,11710098.79674551,6774292.153917278,0.5785,,5855.049398372756,0.0007503452447097599,8786.616947219474,6.774292153917278,0.06774292153917279,0.5949246574813669,0.0164246574813669,96167.18090475585,6783078.770864498,6870459.334822034
