scenario,Date,Q,TAN_units,TAN_adjusted_close,yes_contracts,contract_mark,unhedged_PnL,contract_PnL,hedged_PnL
Q_retail,2024-11-04,100000.0,2446.309212723003,40.877906799316406,23420.197593491022,0.5792503452447098,0.0,0.0,0.0
Q_retail,2024-11-05,100000.0,2446.309212723003,41.584415435791016,23420.197593491022,0.5825,1728.3385862762038,76.10755647952573,1804.4461427557296
Q_retail,2024-11-06,100000.0,2446.309212723003,37.06674575805664,23420.197593491022,1.0,-9323.278366404757,9854.040051762027,530.7616853572708
Q_retail,2024-11-07,100000.0,2446.309212723003,37.39512634277344,23420.197593491022,1.0,-8519.95791673269,9854.040051762027,1334.0821350293372
Q_retail,2024-11-08,100000.0,2446.309212723003,35.862701416015625,23420.197593491022,1.0,-12268.7431328667,9854.040051762027,-2414.7030811046734
Q_retail,2024-11-11,100000.0,2446.309212723003,35.96220779418945,23420.197593491022,1.0,-12025.319763215366,9854.040051762027,-2171.2797114533387
Q_retail,2024-11-12,100000.0,2446.309212723003,34.5491943359375,23420.197593491022,1.0,-15481.987603838708,9854.040051762027,-5627.947552076681
Q_inst,2024-11-04,50000000.0,1223154.6063615014,40.877906799316406,11710098.79674551,0.5792503452447098,0.0,0.0,0.0
Q_inst,2024-11-05,50000000.0,1223154.6063615014,41.584415435791016,11710098.79674551,0.5825,864169.2931381019,38053.77823976286,902223.0713778648
Q_inst,2024-11-06,50000000.0,1223154.6063615014,37.06674575805664,11710098.79674551,1.0,-4661639.183202378,4927020.025881014,265380.8426786354
Q_inst,2024-11-07,50000000.0,1223154.6063615014,37.39512634277344,11710098.79674551,1.0,-4259978.958366345,4927020.025881014,667041.0675146692
Q_inst,2024-11-08,50000000.0,1223154.6063615014,35.862701416015625,11710098.79674551,1.0,-6134371.56643335,4927020.025881014,-1207351.5405523358
Q_inst,2024-11-11,50000000.0,1223154.6063615014,35.96220779418945,11710098.79674551,1.0,-6012659.881607682,4927020.025881014,-1085639.8557266686
Q_inst,2024-11-12,50000000.0,1223154.6063615014,34.5491943359375,11710098.79674551,1.0,-7740993.801919354,4927020.025881014,-2813973.7760383403
