scenario,Q,N_equals_Q_times_delta_E,yes_shares_to_buy,entry_midpoint_probability,upfront_midpoint_cost,midpoint_cost_as_pct_of_Q,profit_if_yes,modeled_TAN_dollar_move_if_yes,net_modeled_move_if_yes
Q_retail,100000.0,-23420.197593491022,23420.197593491022,0.5785,13548.584307834557,0.13548584307834557,9871.613285656465,-9871.613285656465,0.0
Q_inst,50000000.0,-11710098.79674551,11710098.79674551,0.5785,6774292.153917278,0.13548584307834557,4935806.642828233,-4935806.642828233,0.0
