scenario,horizon,endpoint,hedge_status,PnL,PnL_pct_of_Q,TAN_PnL,contract_PnL
Q_retail,1-day reaction (Nov 6),2024-11-06,Unhedged,-9323.278366404757,-0.09323278366404757,-9323.278366404757,0.0
Q_retail,1-day reaction (Nov 6),2024-11-06,Hedged,530.7616853572708,0.005307616853572708,-9323.278366404757,9854.040051762027
Q_retail,5-day lag (Nov 6–12),2024-11-12,Unhedged,-15481.987603838708,-0.1548198760383871,-15481.987603838708,0.0
Q_retail,5-day lag (Nov 6–12),2024-11-12,Hedged,-5627.947552076681,-0.05627947552076681,-15481.987603838708,9854.040051762027
Q_inst,1-day reaction (Nov 6),2024-11-06,Unhedged,-4661639.183202378,-0.09323278366404757,-4661639.183202378,0.0
Q_inst,1-day reaction (Nov 6),2024-11-06,Hedged,265380.8426786354,0.0053076168535727076,-4661639.183202378,4927020.025881014
Q_inst,5-day lag (Nov 6–12),2024-11-12,Unhedged,-7740993.801919354,-0.1548198760383871,-7740993.801919354,0.0
Q_inst,5-day lag (Nov 6–12),2024-11-12,Hedged,-2813973.7760383403,-0.05627947552076681,-7740993.801919354,4927020.025881014
