horizon,predicted_market_adjusted_move,realized_TAN_return,realized_SPY_return,realized_market_adjusted_move,estimation_error
Nov 6,-0.09707671902502019,-0.10863852792904938,0.02486548513056608,-0.13350401305961546,0.3752423279283536
Nov 6–12 cumulative,-0.09707671902502019,-0.16917927127571009,0.03502689865351183,-0.20420616992922191,1.1035545080236033
